Item No,Location,Brand,Type/Material,Style,Pattern,Size,Group,Color,Procurement Price,Cost Price,Base Rate (Without Tax),Discount Percentage,base_rate_discount,GST %,MRP Price (With Tax),Stock opening date,Stock closing date,Quantity available,Quantity sold
1209,Coimbatore,Polo,Polyester,Bootcut,Stonewashed,M,Spring,Red,3443.49,3856.7088,6170.73408,50,3085.37,18,3640.74,24-Dec-23,22-Apr-24,512,384
1210,Trichy,Tommy Hilfiger,Polyester,Casual,Stonewashed,S,Spring,Green,2196.97,2460.6064,3936.97024,15,3346.42,16,3881.85,16-Aug-23,14-Dec-23,124,93
1211,Coimbatore,Allen Solly,,Casual,Washed,M,Winter,Green,1358.8,1521.856,2434.9696,30,1704.48,14,1943.11,23-Mar-24,21-Jul-24,738,554
1212,Salem,Polo,Linen,Slim,Plain,XL,Autumn,Red,3188.88,3571.5456,5714.47296,40,3428.68,15,3942.98,28-Apr-24,26-Aug-24,882,662
1213,Coimbatore,Polo,Denim,Formal,Washed,XL,Summer,Red,1825.03,2044.0336,3270.45376,15,2779.89,12,3113.48,26-Aug-23,24-Dec-23,773,580
1214,Salem,Polo,Linen,Casual,Stripes,M,Spring,Red,1118.15,1252.328,2003.7248,5,1903.54,14,2170.04,27-Mar-24,25-Jul-24,619,464
1215,Coimbatore,Polo,Wool,Slim,Plain,M,Spring,Green,3952.75,4427.08,7083.328,5,6729.16,12,7536.66,30-Aug-23,28-Dec-23,100,75
1216,T.Nagar,Celio,,Bootcut,Stonewashed,XXL,Summer,Red,731.75,819.56,1311.296,50,655.65,12,734.33,01-Jan-24,30-Apr-24,559,419
1217,Coimbatore,Polo,,Bootcut,Stripes,XXL,Winter,Red,1784.79,1998.9648,3198.34368,30,2238.84,14,2552.28,22-Oct-23,19-Feb-24,313,235
1218,Trichy,Celio,Linen,Bootcut,Stonewashed,M,Spring,Grey,1641.38,1838.3456,2941.35296,10,2647.22,12,2964.89,23-Jun-24,21-Oct-24,631,473
1219,Madurai,Zara,,Jogger,Stripes,XL,Winter,Green,2294.77,2570.1424,4112.22784,40,2467.34,12,2763.42,25-Aug-23,23-Dec-23,951,713
1220,Chrompet,Arrow,,Formal,Stonewashed,M,Winter,Black,3847.19,4308.8528,6894.16448,40,4136.5,12,4632.88,31-Mar-24,29-Jul-24,176,132
1221,Coimbatore,Allen Solly,Denim,Slim,Stripes,XXL,Spring,Grey,3909.79,4378.9648,7006.34368,35,4554.12,16,5282.78,23-Mar-24,21-Jul-24,584,438
1222,T.Nagar,Tommy Hilfiger,Denim,Formal,Stonewashed,L,Summer,Blue,2319.78,2598.1536,4157.04576,25,3117.78,15,3585.45,31-Mar-24,29-Jul-24,416,312
1223,Trichy,Arrow,Polyester,Bootcut,Plain,XL,Summer,Red,3183.21,3565.1952,5704.31232,25,4278.23,12,4791.62,09-Mar-24,07-Jul-24,85,64
1224,Salem,Arrow,Wool,Casual,Solid,M,Spring,Red,3151.59,3529.7808,5647.64928,20,4518.12,15,5195.84,13-Jun-24,11-Oct-24,237,178
1225,Salem,Allen Solly,Polyester,Casual,Washed,XL,Spring,Grey,3013.22,3374.8064,5399.69024,10,4859.72,14,5540.08,13-Dec-23,11-Apr-24,624,468
1226,T.Nagar,Zara,Wool,Casual,Washed,XXL,Winter,Blue,3733.41,4181.4192,6690.27072,30,4683.19,14,5338.84,15-May-24,12-Sep-24,483,362
1227,Salem,Polo,Linen,Casual,Stripes,XXL,Spring,Green,3432.41,3844.2992,6150.87872,30,4305.62,12,4822.29,21-May-24,18-Sep-24,151,113
1228,T.Nagar,Arrow,Cotton,Jogger,Plain,XL,Summer,Black,1451.96,1626.1952,2601.91232,20,2081.53,16,2414.57,25-Mar-24,23-Jul-24,703,527
1229,Madurai,Allen Solly,Polyester,Formal,Solid,M,Autumn,Grey,3295.17,3690.5904,5904.94464,50,2952.47,14,3365.82,18-Apr-24,16-Aug-24,327,245
1230,Coimbatore,Polo,Cotton,Formal,Stonewashed,S,Summer,Black,565.06,632.8672,1012.58752,5,961.96,14,1096.63,15-Feb-24,14-Jun-24,582,436
1231,Coimbatore,Tommy Hilfiger,,Slim,Solid,M,Spring,Black,1367.22,1531.2864,2450.05824,0,2450.06,14,2793.07,11-Oct-23,08-Feb-24,132,99
1232,Madurai,Arrow,Cotton,Bootcut,Stripes,XXL,Summer,Blue,560.23,627.4576,1003.93216,10,903.54,12,1011.96,21-Sep-23,19-Jan-24,975,731
1233,Salem,Tommy Hilfiger,,Casual,Solid,L,Winter,Blue,1276.17,1429.3104,2286.89664,40,1372.14,18,1619.13,14-Dec-23,12-Apr-24,693,520
1234,Trichy,Celio,Cotton,Formal,Washed,XL,Autumn,Green,3299.54,3695.4848,5912.77568,50,2956.39,15,3399.85,10-Feb-24,09-Jun-24,161,121
1235,Salem,Polo,Cotton,Formal,Solid,XXL,Summer,Black,604.79,677.3648,1083.78368,10,975.41,14,1111.97,26-Dec-23,24-Apr-24,544,408
1236,Chrompet,Tommy Hilfiger,,Bootcut,Stonewashed,XL,Autumn,Green,3028.52,3391.9424,5427.10784,45,2984.91,14,3402.8,15-Aug-23,13-Dec-23,535,401
1237,Chrompet,Tommy Hilfiger,Wool,Jogger,Washed,S,Winter,Red,3008.01,3368.9712,5390.35392,30,3773.25,15,4339.24,24-May-24,21-Sep-24,118,88
1238,Trichy,Allen Solly,Wool,Jogger,Washed,XXL,Summer,Red,1542.14,1727.1968,2763.51488,0,2763.51,15,3178.04,27-Apr-24,25-Aug-24,217,163
1239,Madurai,Celio,Wool,Bootcut,Solid,M,Spring,Green,1952.45,2186.744,3498.7904,25,2624.09,18,3096.43,29-Dec-23,27-Apr-24,343,257
1240,Madurai,Tommy Hilfiger,,Formal,Stripes,L,Spring,Black,3145.33,3522.7696,5636.43136,5,5354.61,16,6211.35,28-Mar-24,26-Jul-24,910,682
1241,Chrompet,Allen Solly,Cotton,Bootcut,Solid,S,Summer,Black,1090.08,1220.8896,1953.42336,25,1465.07,16,1699.48,04-Aug-23,02-Dec-23,563,422
1242,T.Nagar,Arrow,Wool,Formal,Washed,M,Summer,Grey,2326.77,2605.9824,4169.57184,15,3544.14,15,4075.76,16-May-24,13-Sep-24,71,53
1243,Trichy,Arrow,Linen,Jogger,Stonewashed,XXL,Spring,Blue,1036.71,1161.1152,1857.78432,15,1579.12,15,1815.99,04-Dec-23,02-Apr-24,781,586
1244,Madurai,Polo,Denim,Jogger,Plain,L,Summer,Grey,2129.85,2385.432,3816.6912,0,3816.69,12,4274.69,04-Feb-24,03-Jun-24,568,426
1245,Madurai,Zara,Polyester,Bootcut,Plain,XXL,Winter,Blue,1433.17,1605.1504,2568.24064,45,1412.53,12,1582.03,14-Dec-23,12-Apr-24,890,668
1246,Coimbatore,Arrow,,Jogger,Stripes,L,Autumn,Grey,753.34,843.7408,1349.98528,45,742.49,16,861.29,26-Dec-23,24-Apr-24,859,644
1247,Chrompet,Arrow,Wool,Casual,Stripes,M,Autumn,Blue,2276.25,2549.4,4079.04,40,2447.42,16,2839.01,01-May-24,29-Aug-24,426,320
1248,Chrompet,Tommy Hilfiger,Polyester,Casual,Stonewashed,XL,Spring,Red,3724.92,4171.9104,6675.05664,10,6007.55,16,6968.76,07-Mar-24,05-Jul-24,785,589
1249,T.Nagar,Allen Solly,Cotton,Jogger,Solid,S,Autumn,Red,599.79,671.7648,1074.82368,15,913.6,18,1078.05,11-Oct-23,08-Feb-24,180,135
1250,Madurai,Tommy Hilfiger,Denim,Bootcut,Stripes,L,Autumn,Blue,2488.7,2787.344,4459.7504,0,4459.75,18,5262.51,21-Sep-23,19-Jan-24,694,520
1251,Coimbatore,Zara,,Slim,Plain,XXL,Summer,Red,3365.74,3769.6288,6031.40608,35,3920.41,18,4626.08,15-Feb-24,14-Jun-24,224,168
1252,Chrompet,Allen Solly,Linen,Bootcut,Stripes,M,Spring,Grey,2131.42,2387.1904,3819.50464,15,3246.58,15,3733.57,28-Feb-24,27-Jun-24,441,331
1253,Salem,Zara,Polyester,Casual,Stripes,M,Winter,Red,1519.26,1701.5712,2722.51392,45,1497.38,15,1721.99,03-Feb-24,02-Jun-24,792,594
1254,Coimbatore,Polo,Wool,Bootcut,Solid,L,Summer,Grey,3614.89,4048.6768,6477.88288,50,3238.94,12,3627.61,01-Jan-24,30-Apr-24,991,743
1255,Chrompet,Zara,Linen,Slim,Stonewashed,S,Spring,Grey,3421.5,3832.08,6131.328,20,4905.06,18,5787.97,14-Nov-23,13-Mar-24,813,610
1256,Chrompet,Zara,Cotton,Casual,Solid,S,Autumn,Black,3923.73,4394.5776,7031.32416,35,4570.36,12,5118.8,31-Mar-24,29-Jul-24,947,710
1257,Madurai,Tommy Hilfiger,Denim,Bootcut,Stonewashed,XL,Winter,Green,2804.51,3141.0512,5025.68192,15,4271.83,14,4869.89,21-Nov-23,20-Mar-24,679,509
1258,T.Nagar,Celio,Denim,Bootcut,Stonewashed,L,Summer,Red,2944.39,3297.7168,5276.34688,25,3957.26,14,4511.28,23-Mar-24,21-Jul-24,884,663
1259,Madurai,Allen Solly,Wool,Jogger,Stripes,XXL,Winter,Blue,3296.44,3692.0128,5907.22048,0,5907.22,15,6793.3,10-Jan-24,09-May-24,910,682
1260,Madurai,Tommy Hilfiger,Polyester,Bootcut,Stripes,XL,Summer,Grey,2927.92,3279.2704,5246.83264,0,5246.83,18,6191.26,14-Aug-23,12-Dec-23,618,464
1261,T.Nagar,Celio,Linen,Jogger,Washed,XXL,Summer,Blue,2176.96,2438.1952,3901.11232,0,3901.11,16,4525.29,09-Apr-24,07-Aug-24,452,339
1262,Chrompet,Allen Solly,Denim,Slim,Washed,XL,Spring,Black,1026.2,1149.344,1838.9504,30,1287.27,12,1441.74,19-Apr-24,17-Aug-24,345,259
1263,Coimbatore,Allen Solly,Polyester,Jogger,Stonewashed,L,Summer,Grey,1565.06,1752.8672,2804.58752,5,2664.36,16,3090.66,04-Dec-23,02-Apr-24,428,321
1264,Madurai,Zara,Polyester,Bootcut,Stonewashed,S,Autumn,Green,542.83,607.9696,972.75136,45,535.01,16,620.61,11-Sep-23,09-Jan-24,738,554
1265,Coimbatore,Celio,Cotton,Jogger,Plain,L,Summer,Black,2453.52,2747.9424,4396.70784,35,2857.86,12,3200.8,05-Oct-23,02-Feb-24,504,378
1266,Trichy,Celio,,Bootcut,Washed,M,Winter,Green,1883.9,2109.968,3375.9488,5,3207.15,16,3720.29,08-May-24,05-Sep-24,310,232
1267,Madurai,Tommy Hilfiger,Wool,Jogger,Plain,L,Autumn,Grey,1094.6,1225.952,1961.5232,5,1863.45,18,2198.87,06-Jun-24,04-Oct-24,282,212
1268,Salem,Zara,Linen,Slim,Stonewashed,S,Autumn,Red,3345.81,3747.3072,5995.69152,45,3297.63,15,3792.27,19-Jun-24,17-Oct-24,118,88
1269,Chrompet,Arrow,Denim,Slim,Stonewashed,XL,Autumn,Green,2462.72,2758.2464,4413.19424,40,2647.92,18,3124.55,17-Jan-24,16-May-24,131,98
1270,Chrompet,Celio,Polyester,Slim,Washed,M,Autumn,Blue,2451.1,2745.232,4392.3712,20,3513.9,15,4040.99,21-Mar-24,19-Jul-24,448,336
1271,Salem,Zara,Denim,Bootcut,Stonewashed,L,Spring,Black,3971.29,4447.8448,7116.55168,10,6404.9,14,7301.59,15-Mar-24,13-Jul-24,307,230
1272,Chrompet,Polo,,Formal,Plain,XL,Summer,Blue,2899.67,3247.6304,5196.20864,10,4676.59,12,5237.78,23-May-24,20-Sep-24,804,603
1273,Chrompet,Celio,Wool,Bootcut,Stripes,M,Winter,Red,2200.18,2464.2016,3942.72256,30,2759.91,18,3256.69,19-Aug-23,17-Dec-23,299,224
1274,Madurai,Polo,Wool,Jogger,Stonewashed,XL,Summer,Black,3531.91,3955.7392,6329.18272,10,5696.26,15,6550.7,01-Aug-23,29-Nov-23,636,477
1275,Chrompet,Tommy Hilfiger,Linen,Jogger,Stripes,M,Autumn,Blue,3784.43,4238.5616,6781.69856,45,3729.93,18,4401.32,15-Aug-23,13-Dec-23,326,244
1276,Coimbatore,Zara,Denim,Bootcut,Solid,XXL,Winter,Red,1395.38,1562.8256,2500.52096,30,1750.36,16,2030.42,31-Jul-23,28-Nov-23,476,357
1277,Madurai,Allen Solly,Denim,Bootcut,Stonewashed,XXL,Winter,Blue,1912.34,2141.8208,3426.91328,45,1884.8,18,2224.06,25-Dec-23,23-Apr-24,63,47
1278,T.Nagar,Arrow,Cotton,Slim,Solid,L,Spring,Grey,1982.5,2220.4,3552.64,35,2309.22,16,2678.7,05-Aug-23,03-Dec-23,691,518
1279,Coimbatore,Polo,Denim,Formal,Stonewashed,L,Summer,Red,1096.4,1227.968,1964.7488,10,1768.27,14,2015.83,10-Apr-24,08-Aug-24,67,50
1280,Salem,Allen Solly,Denim,Formal,Plain,M,Winter,Red,1561.14,1748.4768,2797.56288,15,2377.93,15,2734.62,16-Dec-23,14-Apr-24,965,724
1281,T.Nagar,Celio,Polyester,Slim,Solid,S,Autumn,Blue,3243.48,3632.6976,5812.31616,5,5521.7,16,6405.17,02-May-24,30-Aug-24,228,171
1282,T.Nagar,Allen Solly,Polyester,Formal,Stonewashed,XXL,Winter,Green,2468.31,2764.5072,4423.21152,10,3980.89,14,4538.21,22-Jun-24,20-Oct-24,874,656
1283,Coimbatore,Zara,,Jogger,Solid,XXL,Summer,Grey,2983.06,3341.0272,5345.64352,40,3207.39,12,3592.28,15-Apr-24,13-Aug-24,964,723
1284,Salem,Arrow,Polyester,Casual,Plain,M,Spring,Blue,1896.8,2124.416,3399.0656,35,2209.39,16,2562.89,18-Jan-24,17-May-24,863,647
1285,Chrompet,Zara,Wool,Jogger,Washed,S,Spring,Grey,1153.36,1291.7632,2066.82112,20,1653.46,12,1851.88,10-May-24,07-Sep-24,575,431
1286,T.Nagar,Zara,Denim,Formal,Washed,S,Autumn,Grey,529.83,593.4096,949.45536,30,664.62,15,764.31,31-Aug-23,29-Dec-23,501,376
1287,Chrompet,Arrow,Linen,Slim,Stripes,S,Winter,Black,1666.64,1866.6368,2986.61888,50,1493.31,12,1672.51,05-May-24,02-Sep-24,409,307
1288,Salem,Allen Solly,Linen,Slim,Washed,L,Winter,Black,3430.82,3842.5184,6148.02944,20,4918.42,15,5656.18,31-Oct-23,28-Feb-24,561,421
1289,Trichy,Celio,Denim,Jogger,Stonewashed,L,Summer,Black,3519.38,3941.7056,6306.72896,15,5360.72,18,6325.65,23-Dec-23,21-Apr-24,865,649
1290,Salem,Celio,Denim,Slim,Plain,XL,Spring,Blue,3798.78,4254.6336,6807.41376,25,5105.56,12,5718.23,04-Oct-23,01-Feb-24,524,393
1291,Chrompet,Polo,Polyester,Bootcut,Solid,XXL,Summer,Green,1456.82,1631.6384,2610.62144,15,2219.03,12,2485.31,16-Feb-24,15-Jun-24,927,695
1292,T.Nagar,Allen Solly,Cotton,Slim,Solid,XL,Spring,Red,3283.79,3677.8448,5884.55168,40,3530.73,14,4025.03,10-Apr-24,08-Aug-24,519,389
1293,Trichy,Celio,Linen,Jogger,Stripes,M,Summer,Grey,1537.75,1722.28,2755.648,15,2342.3,14,2670.22,04-Sep-23,02-Jan-24,141,106
1294,Madurai,Polo,Wool,Jogger,Stripes,M,Autumn,Red,1093.8,1225.056,1960.0896,25,1470.07,14,1675.88,22-Nov-23,21-Mar-24,959,719
1295,Coimbatore,Celio,Cotton,Bootcut,Stripes,XL,Summer,Black,1096.34,1227.9008,1964.64128,5,1866.41,18,2202.36,17-Apr-24,15-Aug-24,642,482
1296,Chrompet,Arrow,,Bootcut,Plain,M,Winter,Blue,1475.23,1652.2576,2643.61216,0,2643.61,18,3119.46,04-May-24,01-Sep-24,340,255
1297,Trichy,Allen Solly,,Bootcut,Washed,M,Winter,Black,1326.26,1485.4112,2376.65792,45,1307.16,18,1542.45,12-Feb-24,11-Jun-24,996,747
1298,Trichy,Zara,Wool,Slim,Washed,M,Autumn,Green,1439.7,1612.464,2579.9424,5,2450.95,15,2818.59,06-Feb-24,05-Jun-24,255,191
1299,Chrompet,Allen Solly,Polyester,Jogger,Stripes,XXL,Summer,Green,1146.3,1283.856,2054.1696,40,1232.5,18,1454.35,24-Mar-24,22-Jul-24,912,684
1300,T.Nagar,Zara,Wool,Jogger,Plain,L,Spring,Red,959.86,1075.0432,1720.06912,20,1376.06,12,1541.19,23-Nov-23,22-Mar-24,862,646
1301,T.Nagar,Tommy Hilfiger,Denim,Jogger,Stonewashed,M,Autumn,Red,2490.21,2789.0352,4462.45632,35,2900.6,18,3422.71,25-Apr-24,23-Aug-24,204,153
1302,Trichy,Allen Solly,Cotton,Bootcut,Stonewashed,M,Winter,Grey,3784.11,4238.2032,6781.12512,25,5085.84,18,6001.29,06-Jan-24,05-May-24,887,665
1303,Chrompet,Celio,Denim,Jogger,Washed,M,Autumn,Red,3496.63,3916.2256,6265.96096,25,4699.47,14,5357.4,20-May-24,17-Sep-24,219,164
1304,Trichy,Zara,Polyester,Bootcut,Plain,S,Winter,Blue,3366.57,3770.5584,6032.89344,20,4826.31,18,5695.05,18-Jan-24,17-May-24,184,138
1305,Salem,Zara,Linen,Casual,Washed,L,Spring,Blue,2422.38,2713.0656,4340.90496,30,3038.63,16,3524.81,11-Jan-24,10-May-24,839,629
1306,T.Nagar,Allen Solly,Polyester,Jogger,Stonewashed,S,Autumn,Green,1059.7,1186.864,1898.9824,25,1424.24,12,1595.15,05-Sep-23,03-Jan-24,730,548
1307,Trichy,Arrow,Denim,Slim,Stonewashed,XL,Autumn,Green,1892.71,2119.8352,3391.73632,45,1865.45,12,2089.3,24-Dec-23,22-Apr-24,736,552
1308,Madurai,Tommy Hilfiger,,Bootcut,Plain,XL,Winter,Blue,2911.95,3261.384,5218.2144,45,2870.02,15,3300.52,05-Jan-24,04-May-24,743,557
1309,Trichy,Tommy Hilfiger,Linen,Casual,Plain,XXL,Autumn,Grey,734.36,822.4832,1315.97312,20,1052.78,15,1210.7,06-Oct-23,03-Feb-24,96,72
1310,Salem,Celio,Wool,Bootcut,Plain,L,Spring,Black,585.18,655.4016,1048.64256,5,996.21,12,1115.76,09-Feb-24,08-Jun-24,422,316
1311,Trichy,Celio,Denim,Casual,Washed,S,Summer,Green,519.12,581.4144,930.26304,40,558.16,18,658.63,17-Jan-24,16-May-24,902,676
1312,Madurai,Tommy Hilfiger,Linen,Jogger,Solid,M,Summer,Red,2534.14,2838.2368,4541.17888,35,2951.77,16,3424.05,27-Jul-24,24-Nov-24,482,362
1313,T.Nagar,Arrow,Polyester,Jogger,Stripes,XL,Spring,Green,662.47,741.9664,1187.14624,20,949.72,15,1092.18,21-Mar-24,19-Jul-24,296,222
1314,Chrompet,Celio,Denim,Slim,Solid,XXL,Winter,Blue,1196.49,1340.0688,2144.11008,50,1072.06,16,1243.59,09-Aug-23,07-Dec-23,767,575
1315,Salem,Tommy Hilfiger,Cotton,Slim,Plain,XL,Autumn,Grey,1663.25,1862.84,2980.544,15,2533.46,12,2837.48,25-Mar-24,23-Jul-24,992,744
1316,T.Nagar,Allen Solly,Denim,Casual,Stripes,S,Spring,Blue,1753.33,1963.7296,3141.96736,5,2984.87,14,3402.75,14-Mar-24,12-Jul-24,839,629
1317,Trichy,Tommy Hilfiger,Wool,Formal,Stripes,XL,Winter,Blue,795.16,890.5792,1424.92672,20,1139.94,16,1322.33,25-Feb-24,24-Jun-24,215,161
1318,Coimbatore,Zara,Linen,Slim,Plain,XL,Summer,Green,3548.21,3973.9952,6358.39232,25,4768.79,12,5341.04,01-Aug-23,29-Nov-23,442,332
1319,T.Nagar,Allen Solly,Polyester,Formal,Stonewashed,XXL,Autumn,Blue,3134.5,3510.64,5617.024,35,3651.07,12,4089.2,04-Oct-23,01-Feb-24,228,171
1320,Coimbatore,Zara,,Casual,Solid,L,Summer,Red,2904.86,3253.4432,5205.50912,25,3904.13,14,4450.71,17-Oct-23,14-Feb-24,556,417
1321,T.Nagar,Polo,Linen,Jogger,Washed,XL,Winter,Black,1008.2,1129.184,1806.6944,40,1084.02,12,1214.1,14-Dec-23,12-Apr-24,128,96
1322,Salem,Allen Solly,,Jogger,Plain,XXL,Autumn,Blue,3889.05,4355.736,6969.1776,40,4181.51,14,4766.92,21-Jan-24,20-May-24,834,626
1323,Trichy,Celio,Wool,Slim,Stonewashed,L,Spring,Grey,2412.18,2701.6416,4322.62656,20,3458.1,15,3976.81,02-Nov-23,01-Mar-24,543,407
1324,T.Nagar,Allen Solly,Wool,Formal,Plain,M,Winter,Blue,1337.72,1498.2464,2397.19424,45,1318.46,18,1555.78,15-Jul-24,12-Nov-24,608,456
1325,Coimbatore,Zara,Wool,Jogger,Plain,M,Summer,Green,3631.84,4067.6608,6508.25728,15,5532.02,12,6195.86,17-Jul-24,14-Nov-24,113,85
1326,Salem,Polo,Polyester,Jogger,Solid,L,Spring,Grey,1558.09,1745.0608,2792.09728,15,2373.28,12,2658.07,20-Aug-23,18-Dec-23,450,338
1327,Chrompet,Zara,Denim,Slim,Washed,XL,Autumn,Black,2225.9,2493.008,3988.8128,20,3191.05,14,3637.8,26-Aug-23,24-Dec-23,487,365
1328,Chrompet,Zara,Wool,Bootcut,Washed,L,Winter,Grey,995.03,1114.4336,1783.09376,50,891.55,12,998.54,04-Dec-23,02-Apr-24,383,287
1329,Trichy,Tommy Hilfiger,Polyester,Slim,Plain,XL,Spring,Red,1824.78,2043.7536,3270.00576,50,1635,14,1863.9,11-Jan-24,10-May-24,721,541
1330,Madurai,Arrow,Wool,Formal,Stonewashed,XXL,Summer,Red,3174.03,3554.9136,5687.86176,50,2843.93,14,3242.08,26-Jul-24,23-Nov-24,109,82
1331,Chrompet,Zara,,Casual,Solid,M,Summer,Black,1568.85,1757.112,2811.3792,45,1546.26,14,1762.74,25-Aug-23,23-Dec-23,118,88
1332,Madurai,Arrow,Linen,Bootcut,Stripes,S,Winter,Red,3899.36,4367.2832,6987.65312,0,6987.65,16,8105.67,08-Mar-24,06-Jul-24,912,684
1333,Trichy,Arrow,,Casual,Plain,XXL,Summer,Black,521.79,584.4048,935.04768,25,701.29,16,813.5,19-Nov-23,18-Mar-24,757,568
1334,Trichy,Zara,,Bootcut,Plain,L,Summer,Grey,3990.55,4469.416,7151.0656,40,4290.64,18,5062.96,11-Feb-24,10-Jun-24,290,218
1335,Coimbatore,Celio,Polyester,Casual,Solid,XXL,Autumn,Blue,2725.87,3052.9744,4884.75904,30,3419.33,18,4034.81,07-Jul-24,04-Nov-24,285,214
1336,T.Nagar,Celio,Cotton,Casual,Washed,XXL,Spring,Blue,2777.68,3111.0016,4977.60256,30,3484.32,14,3972.12,30-Mar-24,28-Jul-24,694,520
1337,T.Nagar,Allen Solly,Polyester,Bootcut,Stonewashed,S,Summer,Red,3636.72,4073.1264,6517.00224,35,4236.05,15,4871.46,01-Dec-23,30-Mar-24,500,375
1338,Salem,Allen Solly,Wool,Bootcut,Washed,L,Winter,Black,2786.79,3121.2048,4993.92768,15,4244.84,15,4881.57,09-Apr-24,07-Aug-24,283,212
1339,Trichy,Tommy Hilfiger,,Slim,Washed,L,Autumn,Black,3599.08,4030.9696,6449.55136,25,4837.16,18,5707.85,06-Jan-24,05-May-24,414,310
1340,Coimbatore,Tommy Hilfiger,Polyester,Slim,Solid,M,Autumn,Red,3952.9,4427.248,7083.5968,45,3895.98,15,4480.38,03-Nov-23,02-Mar-24,478,358
1341,Madurai,Tommy Hilfiger,,Casual,Stripes,XL,Winter,Red,3626.27,4061.4224,6498.27584,50,3249.14,14,3704.02,31-Oct-23,28-Feb-24,134,100
1342,Trichy,Allen Solly,Denim,Casual,Plain,XXL,Summer,Green,1677.66,1878.9792,3006.36672,50,1503.18,15,1728.66,09-Apr-24,07-Aug-24,682,512
1343,Salem,Tommy Hilfiger,,Casual,Stonewashed,XL,Summer,Blue,610.22,683.4464,1093.51424,40,656.11,12,734.84,30-May-24,27-Sep-24,435,326
1344,Chrompet,Allen Solly,Cotton,Formal,Plain,M,Autumn,Grey,2980.2,3337.824,5340.5184,20,4272.41,14,4870.55,13-Mar-24,11-Jul-24,106,80
1345,Coimbatore,Zara,Linen,Slim,Stripes,XXL,Spring,Grey,2014.34,2256.0608,3609.69728,20,2887.76,15,3320.92,15-Nov-23,14-Mar-24,507,380
1346,T.Nagar,Polo,Polyester,Bootcut,Plain,L,Spring,Black,1525.72,1708.8064,2734.09024,40,1640.45,15,1886.52,05-Aug-23,03-Dec-23,549,412
1347,Chrompet,Allen Solly,Wool,Slim,Washed,S,Autumn,Green,1319.85,1478.232,2365.1712,35,1537.36,18,1814.08,24-Sep-23,22-Jan-24,272,204
1348,Salem,Polo,Wool,Formal,Plain,XXL,Summer,Green,676.3,757.456,1211.9296,5,1151.33,14,1312.52,14-Dec-23,12-Apr-24,967,725
1349,Salem,Celio,Wool,Slim,Stripes,S,Summer,Blue,1483.06,1661.0272,2657.64352,30,1860.35,16,2158.01,18-Jun-24,16-Oct-24,408,306
1350,Coimbatore,Tommy Hilfiger,Cotton,Formal,Washed,M,Spring,Blue,2643.87,2961.1344,4737.81504,15,4027.14,12,4510.4,22-Mar-24,20-Jul-24,969,727
1351,Coimbatore,Zara,Linen,Casual,Stripes,XXL,Summer,Red,581.06,650.7872,1041.25952,0,1041.26,15,1197.45,07-Jan-24,06-May-24,225,169
1352,Coimbatore,Arrow,Polyester,Formal,Plain,M,Winter,Grey,1227.58,1374.8896,2199.82336,25,1649.87,16,1913.85,10-Nov-23,09-Mar-24,249,187
1353,Trichy,Polo,Polyester,Slim,Solid,S,Summer,Black,3258.73,3649.7776,5839.64416,40,3503.79,14,3994.32,12-Jan-24,11-May-24,909,682
1354,Madurai,Zara,Denim,Jogger,Stonewashed,M,Summer,Red,1126.83,1262.0496,2019.27936,5,1918.32,14,2186.88,20-Dec-23,18-Apr-24,252,189
1355,Madurai,Tommy Hilfiger,Denim,Formal,Stripes,L,Summer,Black,2302,2578.24,4125.184,10,3712.67,16,4306.7,29-Aug-23,27-Dec-23,134,100
1356,Madurai,Tommy Hilfiger,Linen,Jogger,Solid,XXL,Autumn,Grey,3956.42,4431.1904,7089.90464,15,6026.42,12,6749.59,08-Apr-24,06-Aug-24,777,583
1357,Madurai,Arrow,,Casual,Plain,S,Winter,Green,1769.76,1982.1312,3171.40992,5,3012.84,18,3555.15,08-Mar-24,06-Jul-24,264,198
1358,Salem,Arrow,Wool,Jogger,Stripes,M,Winter,Black,2307.9,2584.848,4135.7568,5,3928.97,15,4518.32,18-Oct-23,15-Feb-24,633,475
1359,Trichy,Polo,Wool,Bootcut,Solid,M,Spring,Black,3999.07,4478.9584,7166.33344,20,5733.07,18,6765.02,10-Aug-23,08-Dec-23,973,730
1360,Salem,Celio,Denim,Bootcut,Plain,XL,Summer,Blue,2228.98,2496.4576,3994.33216,10,3594.9,14,4098.19,07-Aug-23,05-Dec-23,560,420
1361,Trichy,Allen Solly,Wool,Bootcut,Washed,M,Summer,Black,2590.09,2900.9008,4641.44128,15,3945.23,18,4655.37,31-May-24,28-Sep-24,792,594
1362,Madurai,Polo,Cotton,Formal,Washed,XXL,Spring,Red,524.71,587.6752,940.28032,40,564.17,18,665.72,24-Jun-24,22-Oct-24,404,303
1363,Madurai,Allen Solly,Wool,Casual,Washed,XL,Summer,Green,2313.47,2591.0864,4145.73824,0,4145.74,18,4891.97,12-Jan-24,11-May-24,124,93
1364,Trichy,Polo,Wool,Bootcut,Solid,XXL,Autumn,Green,1171.84,1312.4608,2099.93728,15,1784.95,18,2106.24,20-Jul-24,17-Nov-24,120,90
1365,Coimbatore,Allen Solly,Polyester,Bootcut,Solid,XXL,Autumn,Black,2849.24,3191.1488,5105.83808,20,4084.67,14,4656.52,25-Aug-23,23-Dec-23,170,128
